Hugo_Symbol,submitter_id,expression
FAT1,TCGA-5M-AAT6,0.0371
FAT3,TCGA-5M-AAT6,1.767
FAT4,TCGA-5M-AAT6,0.0712
FBXW7,TCGA-5M-AAT6,1.8643
GRIN2A,TCGA-5M-AAT6,0.4288
KRAS,TCGA-5M-AAT6,0.8785
LRP1B,TCGA-5M-AAT6,0.5119
MLL3,TCGA-5M-AAT6,-0.8906
MLL4,TCGA-5M-AAT6,-0.1188
MUC16,TCGA-5M-AAT6,1.9132
MYH11,TCGA-5M-AAT6,-0.6961
NBEA,TCGA-5M-AAT6,0.2973
PIK3CA,TCGA-5M-AAT6,0.3772
PREX2,TCGA-5M-AAT6,1.1831
PTPN13,TCGA-5M-AAT6,1.0167
PTPRT,TCGA-5M-AAT6,-0.4523
RNF213,TCGA-5M-AAT6,0.9692
RNF43,TCGA-5M-AAT6,-1.1296
ROBO2,TCGA-5M-AAT6,-1.6611
ROS1,TCGA-5M-AAT6,3.1873
SMAD4,TCGA-5M-AAT6,0.2955
TCF7L2,TCGA-5M-AAT6,-0.1405
TNC,TCGA-5M-AAT6,0.9827
TP53,TCGA-5M-AAT6,0.7293
TRRAP,TCGA-5M-AAT6,0.6263
ZFHX3,TCGA-5M-AAT6,-1.0253
ACVR2A,TCGA-5M-AATA,-1.1424
AKAP9,TCGA-5M-AATA,0.0138
ANK1,TCGA-5M-AATA,-0.9127
APC,TCGA-5M-AATA,-1.8161
ARID1A,TCGA-5M-AATA,0.9446
ATM,TCGA-5M-AATA,0.1772
ATRX,TCGA-5M-AATA,0.1636
BCL9,TCGA-5M-AATA,0.4239
BCL9L,TCGA-5M-AATA,0.1046
BCORL1,TCGA-5M-AATA,1.2772
BIRC6,TCGA-5M-AATA,0.9648
BRAF,TCGA-5M-AATA,-0.0443
BRCA2,TCGA-5M-AATA,0.0876
CARD11,TCGA-5M-AATA,1.5664
CDH10,TCGA-5M-AATA,-0.7135
CDH4,TCGA-5M-AATA,-0.4222
CNTNAP2,TCGA-5M-AATA,0.9148
CREBBP,TCGA-5M-AATA,-1.1153
CSMD3,TCGA-5M-AATA,-0.6521
CTNNA2,TCGA-5M-AATA,-1.2877
DCC,TCGA-5M-AATA,-0.5659
ERBB4,TCGA-5M-AATA,-0.2678
FAM123B,TCGA-5M-AATA,1.0223
FAM47C,TCGA-5M-AATA,-1.3237
FAT1,TCGA-5M-AATA,-1.1865
FAT3,TCGA-5M-AATA,0.7379
FAT4,TCGA-5M-AATA,0.8439
FBXW7,TCGA-5M-AATA,1.0637
GRIN2A,TCGA-5M-AATA,-0.397
KRAS,TCGA-5M-AATA,-0.7457
LRP1B,TCGA-5M-AATA,-0.6634
MLL3,TCGA-5M-AATA,-0.4884
MLL4,TCGA-5M-AATA,0.7594
MUC16,TCGA-5M-AATA,-0.5516
MYH11,TCGA-5M-AATA,-0.0357
NBEA,TCGA-5M-AATA,0.4852
PIK3CA,TCGA-5M-AATA,0.1398
PREX2,TCGA-5M-AATA,1.9652
PTPN13,TCGA-5M-AATA,0.4583
PTPRT,TCGA-5M-AATA,0.1932
RNF213,TCGA-5M-AATA,0.9175
RNF43,TCGA-5M-AATA,0.2759
ROBO2,TCGA-5M-AATA,1.6722
